content,author
"The controversy around the West Bengal Panchayat polls refuses to die down. A day after Opposition parties complained of violence by the ruling Trinamool Congress workers, Bharatiya Janata Party and Congress cadres clashed outside the West Bengal State Election Commission's office, after which the police detained them. According to  BJP workers reached the Election Commission office in Kolkata after the panel decided to   extending the deadline for filing nominations. The Congress workers too joined in the protests, but later clashes broke out. The state Election Commission said that there was no specific direction by the apex court for an extension of the nomination date. ""It appears that there was no specific direction by the Supreme Court of India for extension of the nomination date. Therefore on perusal of all the papers and considering all the points, the Commission hereby recalls the said order and therefore rescinds the (previous) order,"" said the new notification issued by the SEC. The poll panel had extended the deadline after Opposition parties approached it after the apex court refused to interfere in the matter. Both BJP and Congress have alleged that the TMC cadres, enjoying immunity under their party's rule, are   to prevent Opposition candidates from filing nominations. The parties claimed that at several seats, TMC candidates would be elected unopposed because they   from filing papers. Though the last day for filing nominations for the rural polls slated for 1, 3 and 5 May was till Monday, the state Election Commission had extended it till 3 pm on Tuesday on complaints that the opposition candidates had been prevented from filing papers. Meanwhile, the TMC has kept mum on the issue of rollback of Election Commission's order. However,  reported that soon after the poll panel announced the move TMC cadres took out a bike rally in parts of state flaunting weapons in an apparent show of strength. According to the new notification, the state Election Commissioner received two letters, one from the special secretary of the state government and another one from the Trinamool Congress, citing legal infirmities in the previous order of the commission, following which the extension on deadline was revoked. The BJP   hours after the poll panel rolled back the extension in deadline and the court has agreed to hear the plea on Wednesday. ""They (State Election Commission) have extended the deadline for filing the nominations by one day, but on Tuesday they have recalled the order under pressure from the ruling Trinamool Congress,"" advocate Aishwarya Bhati, appearing for the BJP, said. The top court had on Monday refused to interfere with the poll process, saying that with the 2 April notification of the State Election Commission, the poll election process had been set in motion. The apex court had, however, said if any grievances were raised by any political party or any candidate in writing, then the SEC would ensure disposal of such grievance strictly in accordance with the law forthwith.",FP Staff
"The Pakistan Supreme Court on Thursday ruled that former President Pervez Musharraf can conditionally file his nomination papers for the   on July 25,   reported. The court was hearing Musharraf’s review petition against the Peshawar High Court’s 2013 decision disqualifying him from contesting elections for life.  The former Army chief was indicted in March 2014 on treason charges. A special court declared him a proclaimed absconder in May 2016, two months after he left the country for Dubai, where he has been living since then. Musharraf is also an accused in the assassination of former Prime Minister Benazir Bhutto, and was   an absconder in the case by a special anti-terrorism court in August.  The Supreme Court on Friday told the former president’s lawyer Qamar Afzal that his client could submit nomination papers, but the Election Commission could accept them only if the lower court’s verdict gets overturned. The court also summoned Musharraf on June 13 and assured him that he would not be arrested upon his return from Dubai,   reported.  “We will pass an order ensuring that authorities do not arrest the former president before his appearance in court,” said Chief Justice of Pakistan Mian Saqib Nisar. The general secretary of Musharraf’s All Pakistan Muslim League party, Muhammad Amjad, said the former president was expected to return after Eid. “However, the exact date of his return will be announced after the Supreme Court decides on the review petition,” he added. If allowed to fight elections, the former Army chief would be in the fray from four constituencies, Amjad told reporters.",Scroll Staff
"Disinvestment of Air India and rise in prices of petrol and diesel are likely to feature in an important coordination meeting of the RSS, BJP and the government scheduled for Tuesday, 29 May. BJP president Amit Shah, Finance and Railways Minister Piyush Goyal, and Commerce and Civil Aviation Minister Suresh Prabhu are among those likely to attend the meeting. It will be chaired by RSS joint general secretary Krishan Gopal. The sangh's economic group, comprising Bhartiya Mazdoor Sangh, Bhartiya Kisan Sangh, Laghu Udyog Bharti and Swadeshi Jagran Manch, will present their reports and feedback on various economic policies of the government. Sources said that the issues of Air India disinvestment and rise in prices of petrol and diesel would feature in the meeting. Bhartiya Mazdoor Sangh and Swadeshi Jagran Manch (SJM) have also opposed its disinvestment in the current form. According to the SJM, Air India has operating profits, but is running into losses due to its debts. It suggested that government should monetise the assets of the national carrier to repay its debt. The Centre has invited 'expression of interest' to sell 76 percent stake and management control in the airline. The Indian government owns 100 percent equity of Air India. The government has injected more than Rs 23,000 crore since 2012 to bail out the airline. The RSS has said that its ongoing meeting with the BJP and union ministers is not a coordination meeting but an exercise to interchange the ideas. On completion of four years of the Narendra Modi dispensation, BJP chief Amit Shah along with six Cabinet ministers, on Monday, 28 May, met top functionaries of the RSS to deliberate on government programmes and policies, including the much-awaited education policy. Kumar said the various RSS organisations working in the same field occasionally come together to share their experiments, experiences and observations. He also said such group meetings are taking place every year since 2007. The meeting of the Sangh, its affiliates, the BJP, and the government was chaired by RSS joint general secretary Krishna Gopal. The BJP was represented by Shah, party vice-president Vinay Sahasrabuddhe, general secretary Ram Madhav and secretary (organisation) Ram Lal. The government was represented by the six ministers – Rajyavardhan Rathore, JP Nadda, Maneka Gandhi, Mahesh Sharma, Prakash Javadekar and Thawarchand Gehlot. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",PTI
" Telangana chief minister K Chandrasekhar Rao, on a mission to form a  , on Sunday met DMK patriarch M Karunanidhi and its working president MK Stalin in Chennai. Rao, who held discussions with Stalin on a wide range of issues, including more autonomy to states, described the meeting as ""very delightful"". He said his ongoing effort was not aimed at some kind of a 'third front'.It was not a mere alignment of political parties but ""that of the people"" of the country, the Telangana Rashtra Samithi supremo told reporters in a joint press meet with Stalin. Rao parried a question on whether he was projecting West Bengal chief minister  , whom he had recently met, as the prime ministerial candidate in the 2019 elections. The efforts were aimed at the country's betterment, better economy and better opportunities for the youth, he said. ""We have not proposed any third, fourth or fifth front, this so-called front is created by media. We have never announced a third front...it is not a mere alignment of political parties but an alignment of people of India, the masses and unemployed youth of India,"" he said. Earlier, Rao met Karunanidhi at the latter's Gopalapuram residence where he was received by Stalin. Praising 93-year old Karunanidhi as ""one of the tallest leaders"" of the country, he recalled their association in UPA I. He expressed joy that Karunanidhi, since confined indoors due to health reasons, responded to his ' ,' the traditional Tamil salutation. The Telangana chief minister has recently met Banerjee and former prime minister HD Deve Gowda as part of his move to form an alternative. A resolution at the TRS plenary on 27 April had authorised Rao to take appropriate decisions on forming the alternative to BJP and Congress. Stalin, son of Karunanidhi and leader of the Opposition in Tamil Nadu Assembly, hosted a lunch for Rao at his residence where the two had a lengthy discussion on issues, including federalism and devolution of funds to states. Rao said the meeting was ""very delightful...We discussed so many things. Things which have been happening for the last seven decades in the country."" Both Rao and Stalin said they discussed issues such as the centre-state relations, powers to be given to the states, more devolution of funds and more autonomy to states. They also said more rounds of discussions would be held. Rao said this was neither the beginning nor the end and no decision had been taken. ""...Across the nation there is a debate that there is a need for a qualitative change in governance of India, politics of India,"" he added. ""So we have been discussing with so many leaders across the nation...Both of us (himself and Stalin) had a telephonic talk with Mamata Banerjee also and we will be talking to so many leaders across the country,"" he said. This effort will take about two to three months for a consensus to be achieved, Rao said adding he and Stalin shared the view that India should be a secular country. ""The centralisation...dictatorial trends"" of successive governments seen in the last seven decades should go, he said. When asked if the Centre 'ignored' southern states, Rao shot back saying, ""where is the doubt about it"" and vowed to ensure justice for people. The TRS chief said he invited Stalin to be the chief guest for the launch of a Telangana government scheme next month. On whether he would reach out to Andhra Pradesh Chief Minister N Chandrababu Naidu, he said ""why not"", adding he considered him as ""best friend"". Stalin said the discussions centred around the prevailing political situation but added any announcement on a possible alliance would come only during elections. ""Issues like more powers for states, strengthening federalism, bringing education to state list, more devolution of funds to states and the authoritarian attitude of Central government were discussed. A healthy discussion happened today,"" he said. Rao was accompanied by his senior party colleagues including K Keshava Rao, MP, while former DMK ministers TR Baalu and A Raja were present during the meeting.",PTI
"The Bharatiya Janata Party (BJP) looks set to storm to victory in Karnataka with a simple majority, thereby being in a position to form government on its own without any help from allies. If it does so, BS Yeddyurappa, the party's pre-poll chief ministerial candidate, will take oath to become chief minister for the third time. Incidentally, the BJP leader and party's MLA from Shikaripura constituency, had confidently predicted a victory back on 2 May, even spelling out the details of his oath-taking ceremony. In an address to party workers at Shivamoga on 2 May,  , ""17 May is a Thursday and 18 May is a Friday. We have to look at the convenient time of the prime minister. Chief ministers of other states too will attend the event... My oath-taking at Vidhana Soudha as chief minister of Karnataka is inevitable. Nobody should have any doubt about it."" Back when he made this announcement, the state was still on a knife's edge, and Yeddyurappa's confidence was seen as premature. However, the victory for BJP would make it appear like he had played his cards right. The Congress state government had   to the Lingayat community in Karnataka, a move that would have purportedly given the party an edge over the BJP when it comes to securing the Lingayat vote. Lingayats, along with the numerically strong Veerashaivas, number over 17 percent of Karnataka's population, as   has argued. It said that Lingayats are the dominant community in over 100 out of the state's 224 constituencies, most of them from north Karnataka. Nine of its chief ministers have been Lingayats. But with Yeddyurappa having been the BJP's face in the state for over three decades, time in which he has been sent to the Karnataka Assembly on six different occasions, the party has always been in pole position to clinch the community's vote. It was believed that Congress' attempt to give the community a religious minority card was an attempt to draw some of this support away from the saffron party. Clearly, it has not worked. Speaking to Firstpost in April this year, Yeddyurappa had said as much. He denied that the community would tilt towards the Congress, and warned the party that it would be taught ""a lesson of a lifetime"". ""Congress will taste a lesson of a lifetime for its misadventure in this religious issue. The anger and resentment of the people throughout the state is intense and widespread. Even ardent supporters of Congress are angry and want to teach Siddaramaiah a lesson for interfering in religious affairs. Nobody tolerates dividing the society. BJP draws strength and support from all religious denominations cutting across caste and creed and all rungs of the society,"" he said. The Congress had also used the issue of Yeddyurappa's arrest and jail stint for a land grab case in 2011 to criticise the BJP. Yeddyurappa was   for monetary gain. Two Bengaluru advocates had filed five cases against Yeddyurappa, his two sons, son-in-law and others, accusing them of denotifying the government land. Yeddyurappa became the first accused in all the five cases of illegal land denotification for monetary gains. He became the first former chief minister in the state's history to have an arrest warrant against his name. He then went on to spend 25 days in jail, before being released from Bangalore Central Prison. Later, in 2016, a CBI court had cleared Yeddyurappa and his sons. The Karnataka High Court had initially quashed all charges against Yeddyurappa, following which the Samaja Parivartana Samudaya NGO moved the Supreme Court, which asked the CBI to re-investigate the matter. In the run-up to the Assembly election,   and Siddaramaiah for bringing up the issue of his stint in jail. He said he was acquitted by multiple courts. ""Moreover, Siddaramaiah has conveniently forgotten that his own party leaders Rajiv Gandhi and Oscar Fernandes had taken bail to avoid jail sentences,"" he added.",FP Staff
": Uttar Pradesh Congress chief Raj Babbar Saturday hit out at Chhattisgarh Chief Minister Raman Singh, a doctor by qualification, for pushing the state's ""health"" into ""critical condition"". ""Chhattisgarh ranked 20th in the list of 21 states for providing health services, and posts of doctors and nurses were lying vacant,"" the Congress leader said. ""The chief minister has dashed the hopes of people who were thinking that health facilities would improve after a doctor became chief minister. Health facilities are pathetic in Chhattisgarh,"" Babbar said in a press conference in Raipur. ""A doctor chief minister has pushed the state's health services into the ICU during his 15-year rule,"" Babbar alleged. He said the Raman Singh government had failed to build a single hospital in Bastar region for security forces getting injured in anti-Naxal operations. ""These injured jawans have to be airlifted to Raipur or require admission in private medical facilities,"" he added. Babbar also attacked former chief minister Ajit Jogi who quit the Congress to set up the Janata Congress Chhattisgarh (J) and is fighting the forthcoming Assembly polls in alliance with the BSP and CPI. Without naming Jogi, Babbar said that the ""collector"", referring to Jogi's past as an IAS official, and Raman Singh had entered into a ""tie up"" for the forthcoming polls. Chhattisgarh goes to polls in two phases on 12 November and 20 November and counting of votes will be taken up on 11 December. He said that the state had got a collector and doctor as chief ministers, and the people had ""transferred"" the collector, a reference to Jogi's stint as Congress chief minister between 2000 and 2003. He also said that the Naxal issue in Chhattisgarh will not be resolved by bullets but through talks. He said that grievances of Naxals should be addressed as the ""movement"" started for the rights of people. ""Those who have diverted from the mainstream should be brought back,"" Babbar said, adding that picking up a gun was not a solution. Queried about whether he was claiming that Naxals were revolutionaries, Babbar said, ""I want to clarify that I said the issue can be solved through talks with those (Naxals) who call themselves revolutionaries by indulging in acts of terrorism."" He refuted BJP allegations, made on several occasions, that the Congress was ""backing"" Naxals. ""The Congress party had lost its state leadership (in Naxal attack in May 2013). BJP keeps on accusing the Congress of directly or indirectly backing Naxals which reflects BJP's mental sickness. How can the Congress party which lost its senior (state) leadership in a Naxal attack take their side,"" Babbar asked.",Press Trust of India
" A petition was filed in the Supreme Court on Thursday seeking lodging of an FIR and court-monitored probe by an independent agency into the alleged physical and sexual abuse of inmates in 14 shelter homes in Bihar as highlighted in a report. The Tata Institute of Social Science (TISS) report was submitted to the Bihar government and it has highlighted gross violations of human rights of inmates in 15 shelter homes in the state, including the Muzaffarpur shelter, whose affairs are now being investigated by the CBI. The plea filed by journalist Nivedita Jha, through advocate Fauzia Shakil, has sought “registration of an FIR and independent investigations or a court-monitored probe into the affairs of these 14 (other) shelter homes in Bihar mentioned in the TISS report”. It also sought direction to the authorities to look into the aspect of rehabilitation of the victims of alleged sexual and physical abuse in these 14 shelter homes and to pay compensation to them. The plea has alleged that the Bihar government has not conducted any probe into the allegations of irregularities, sexual and physical abuse in the 14 shelter homes highlighted in the TISS report. “No FIR has been lodged and no investigation/enquiry has been undertaken by any authority into the glaring irregularities and instances of sexual and physical abuse of the residents. It is most respectfully submitted that as per the information received from the members of the civil society, most of these 14 shelter homes are still functioning in the same way,” it said. The plea, while referring to the media reports, said that without conducting any probe into the allegations of sexual and physical abuse, the state was in the process of taking over the management of these shelter homes. “It is pertinent to point out here that the TISS report highlighted instances of sexual abuse in the children homes run by the state government in Araria and Arrah districts of Bihar. Thus an inference can be drawn that children homes managed by a respondent state are no-better managed than the other shelter homes administered by these NGOs,” it claimed. The plea said the investigation into the Muzaffarpur shelter home has shocked the nation and has exposed the ghastly nature of sexual and physical abuse in which hapless minor girls were subjected to including instances where minor girls were drugged and raped. “It has brought to light the involvement of senior politicians and bureaucrats including the members of the child protection units,” said the petition, which is likely to be taken up for hearing by the court next week. It said the delay in arresting former minister Manju Verma in the state in a connected matter exposes the deep police-politician nexus in Bihar and there are several instances of inaction by police and members of the state administration. Verma has surrendered before the district court in Begusarai on November 20 in connection with an Arms Act case. On November 12, the apex court had said it was “quite shocked” that the Bihar police was unable to trace and arrest Verma, who had stepped down from the cabinet in the wake of the Muzaffarpur shelter home scandal, in a case related to the alleged recovery of illegal ammunition from her house. Verma had resigned as the social welfare minister after it came to light that her husband Chandrashekhar Verma had spoken to Brajesh Thakur, the prime accused in the Muzaffarpur case, several times between January and June. Thakur’s NGO was running the shelter where several women inmates were allegedly raped and sexually abused. On October 31, the apex court had expressed displeasure over the failure of the police in arresting Manju Verma, whose anticipatory bail plea was dismissed by the Patna high court on October 9. Verma’s husband had earlier surrendered before a court in Begusarai in connection with the case related to the recovery of ammunition. The top court had last month directed that Thakur be shifted to the high-security jail in Punjab’s Patiala from a jail in Bihar’s Bhagalpur. An FIR was lodged on May 31 against 11 people, including Thakur, following the TISS report. The probe was later taken over by the CBI and 17 people have been arrested so far.",PTI
"Four political turncoats, who had resigned from their membership in the Uttar Pradesh Legislative Council in 2017 to facilitate Chief Minister Yogi Adityanath, his two deputies and two other cabinet colleagues to get the membership of the Upper House of the state Legislature, were on Sunday named by the BJP as its candidates for the upcoming Legislative Council polls. In a statement issued in Lucknow, the party announced the names of 10 candidates for the 26 April polls. The BJP candidates are — state ministers Mahendra Singh and Mohsin Raza, Sarojini Agarwal, Bukkal Nawab, Yashwant Singh, Jaiveer Singh, Vidhyasagar Sonkar, Vijay Bahadur Pathak, Ashok Kataria and Ashok Dhawan. Kataria, Sonkar and Pathak are general secretaries of the state BJP unit, while Dhawan, a former MLC, hails from Varanasi. Meanwhile, Apna Dal (Sonelal) spokesperson Arvind Sharma, in an official statement, said, ""The president of Apna Dal (Sonelal), Ashish Singh Patel, will be the candidate for the 11th seat left by the BJP for the party."" In September last year, Adityanath, his two deputies and two ministers were declared elected unopposed to the state Legislative Council. No other candidate was in the fray for the bypolls to the five seats in the Upper House. The chief minister had filed his nomination for the seat vacated by Samajwadi Party (SP) member Yashwant, while Deputy Chief Minister Keshav Prasad Maurya had filed his papers for the seat held by SP member Bukkal Nawab. Their term was to expire in July, 2022. Adityanath had taken over as the chief minister on 19 March 2017. He had to become a legislator within the stipulated six months since assuming office. Deputy Chief Minister Dinesh Sharma had filed his nomination for the seat vacated by Ashok Bajpai and Swatantra Dev Singh for the seat vacated by SP member Sarojni Agarwal. Their terms were to expire in January, 2021. Raza, the only Muslim minister in the Adityanath cabinet, had filed his nomination for the seat vacated by BSP member Thakur Jaiveer Singh. Bajpai was recently elected as a Rajya Sabha member from Uttar Pradesh. Meanwhile, the leaders of the ruling BJP sounded confident of bagging 11 of the 13 seats going to the polls on 26 April. The BJP and its allies enjoy a brute majority of 324 in the 403-member state Assembly. Arithmetically, they are likely to win 11 of the 13 seats comfortably and still be left with some additional votes. State BJP vice-president JPS Rathore said to ensure victory, a candidate needed 29 first-preference votes. The notification for the Legislative Council polls was issued on April 9. The last date for filing of nominations is 16 April. The scrutiny of nominations will be done on 17 April, while the last date for withdrawal of candidature is 19 April. ""We are sure of winning 11 of the 13 Legislative Council seats going to the polls,"" state BJP spokesperson Navin Srivastava told  . Of the remaining two seats, the SP has given up one to the Bahujan Samaj Party (BSP). The SP, headed by Akhilesh Yadav, had fielded two candidates, but withdrew one of them, paving the way for Mayawati's party to contest one seat as a quid pro quo (a favour or advantage granted in return for something) for her support to the SP in the bypolls to the Gorakhpur and Phulpur Lok Sabha seats, which halted the saffron party's victory march in the bastion of Adityanath (in Gorakhpur). In the 2014 Lok Sabha polls, the BJP had won the Phulpur seat for the first time. In the recently-concluded Rajya Sabha polls, it was a sweet revenge for the BJP as it ensured the victory of all its nine candidates, days after it lost the two crucial Lok Sabha seats to the SP. Besides Union Finance Minister Arun Jaitley, the others who had made it to the Upper House of Parliament from the party were Ashok Bajpai, Vijay Pal Singh Tomar, Sakal Deep Rajbhar, Kanta Kardam, Anil Jain, Harnath Singh Yadav, GVL Narasimha Rao and Anil Kumar Agarwal, who pulled off a surprise win with the help of second-preference votes. The other candidates, including the SP's Jaya Bachchan, had won on the basis of first-preference votes. In the 100-member Uttar Pradesh Legislative Council, the BJP has only 13 representatives, the SP 61, the BSP nine, the Congress two, the RLD one and others 12. Two seats are vacant. SP spokesperson and MLC Sunil Singh Sajan said the SP-BSP combine would comfortably win the two Legislative Council seats. ""The SP is contesting from one seat in the Legislative Council polls. Initially, we had decided to contest from two seats, but later we decided to give one seat to the BSP to strengthen our electoral understanding,"" he added. According to the Election Commission (EC), the tenure of 13 MLCs, including SP national president Akhilesh Yadav and two ministers in the Adityanath government -- Mahendra Kumar Singh and Mohsin Raza — will end on 5 May. Of the 13 seats falling vacant, seven were held by the SP, two each by the BJP and the BSP and one by the RLD. The 13th seat, which was held by former SP minister Ambika Chaudhary, fell vacant when he switched over to the BSP. Apart from the SP chief, six other MLCs from the party, whose terms are coming to an end are its state unit chief Naresh Chandra Uttam, senior spokesman Rajendra Chaudhary, Umar Ali Khan, Madhu Gupta, Ramsakal Gurjar and Vijay Yadav. The MLCs of other parties, whose terms end on 5 May, are Vijay Pratap and Sunil Kumar Chittor (both from the BSP) and Chaudhary Mushtaq, the lone RLD member. Though the ruling NDA has 324 MLAs in the 403-member state Assembly, it may not get the required strength in the Upper House to get the bills passed, even after winning 11 of the 13 seats. During the winter session of the state legislature last year, the Adityanath government had suffered an embarrassment when it failed to ensure the passage of the Uttar Pradesh Control of Organised Crime (UPCOC) Bill in the Upper House.",PTI
"Vipin Sharma, a photojournalist with a Hindi daily, has alleged assault and manhandling by the Delhi police while he was covering the protests by traders against the South Delhi Municipal Corporation’s (SDMC) sealing drive on Thursday, 8 March in Delhi’s Amar Colony. In a Facebook post by Sharma, he alleged that the police snatched his camera from him, deleted his pictures and dragged him to the police station. According to  , traders alleged that the journalist had captured the photograph of Additional Deputy Commissioner of Police Amit Sharma slapping a store employee. “There was a law and order situation. They [the police] had to contain the crowd and in that, they [the photojournalists] were restrained. An inquiry will take place in the matter,” said Delhi Police spokesperson Dependra Pathak, as quoted by Scroll. The police also alleged that the traders protesting against the sealing drive had attempted to stop traffic on an arterial road. According to  , the SDMC, assisted by the Delhi Police, closed 400 of 700 shops as part of the sealing drive. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
"Social-networking site Facebook on Wednesday, 23 May, said that it was making significant investments to stop the spread of false news and to promote high-quality journalism and news literacy. Facebook has been in the eye of a storm ever since data-mining firm Cambridge Analytica harvested the personal information of millions of users through a game app. The data was allegedly used by the firm to influence, at times manipulate, voters' views at the behest of politicians. Facebook founder Mark Zuckerberg issued an apology for having failed to ensure that the the social networking site was foolproof. Facebook product manager Tessa Lyons said that her team had identified three major areas to focus on. In an article that Facebook put out on  , Lyons claimed that this new approach will help people to ""stay informed and diametrically reduce the reach of false stories. Although false news does not violate our community standards, it often violates our policies in other categories, such as spam, hate speech or fake accounts, which we remove,” Lyons said. Facebook, from now onwards, will suspend pages that are found to be concealing their real identities and operating out of non-native countries. Facebook said that it has started taking action against pages and websites that share fake news stories on a regular basis, thereby decreasing their news distribution. ""Another part of our strategy in some countries is partnering with third-party fact-checkers to review and rate the accuracy of articles and posts on Facebook,"" Lyons wrote. Facebook is also taking steps to help the audience make an informed choice about what to ""read, trust and share"" for which the social networking site is investing in news literacy. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
"The Special Investigation Team probing journalist Gauri Lankesh murder case arrested two more suspects on Monday, 23 July. Special investigating officer MN Anuchtech told PTI that the two--Amit Raghavendra Baddi and Ganesh Miski-- both residents of Hubballi, were arrested on Sunday. He said they were produced before a metropolitan court, which remanded them in SIT custody till 6 August for further investigation. Anucheth did not disclose their role in the crime. Baddi was said to be a goldsmith by profession, while Miski was into incense stick manufacturing business. Nine suspects have been arrested in the case so far. Lankesh was shot dead right in front of her Rajarajeshwari Nagar residence in Bengaluru. Besides Baddi and Miski, the SIT has arrested KT Naveen Kumar, Amol Kale, Amit Degwekar, Parashuram Waghmare, Sujith Kumar, Manohar Edave and Mohan Naik. Waghmare had allegedly shot dead Lankesh. Lankesh, a Left-leaning journalist-activist was said to have raised the hackles of the Hindu right with her strong views against hardline Hindutva. Police suspects their involvement in the killing of rationalist M M Kalburgi in Karnataka's Dharwad. It is also trying to ascertain if they had any role in the killing of rationalist Narendra Dabholkar and CPI leader Govind Pansare in Maharashtra. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",PTI
"Bharatiya Janata Party MP Bharat Singh on Saturday alleged that Christian missionaries were a threat to India’s unity and integrity, and accused the Congress of working on their directives, PTI reported. “Christian missionaries control the Congress,” Singh, who represents Uttar Pradesh’s Ballia in the Lok Sabha, told reporters on Saturday. “Sonia Gandhi, the mother of Congress President Rahul Gandhi, works on the directions of these missionaries.” BJP MP Bharat Singh sparks a row with his controversial remark on UPA chairperson Sonia Gandhi and Congress. Listen in to what he said  More videos:    Singh alleged that the north eastern states were under the influence of the missionaries and democracy there had weakened because of “conversion of people into Christianity”. Singh had recently alleged that Christian missionaries had defaced the statues of Dr BR Ambedkar. Ambedkar’s statues were vandalised in  ,   and   in March. Last week, two of his statues in Bihar’s Nawada and Sheikhpura districts   destroyed. The incidents were triggered after the   of Communist icon Vladimir Lenin’s statue in Tripura.",Scroll Staff
"After the dismal plane crash that shook Mumbai on Thursday, 28 June, killing all on board and a pedestrian, reports have emerged that the pilots were in touch with the Juhu Air Traffic Control (ATC) minutes before the crash. Sixty seconds later, something went horribly wrong and the plane with four people on board crashed seven kilometres away from touchdown, in Mumbai’s densely populated Ghatkopar. In a statement issued on Sunday, 1 July, UY Aviation said it had all the “necessary requirments” and “approvals” in place for the test flight but the contact with Mumbai ATC was reportedly lost 40 minutes after the ill-fated aircraft took off from Juhu Aerodrome at approx 12.20 hours IST on 28 June, reported  . The Mumbai-based private chartered aircraft firm added that ""it is extending its full co-operation to all the regulatory and law enforcement agencies involved in the aftermath of the tragic crash."" The aircraft was up in flames following an explosion after the crash, killing all on board and a pedestrian. The investigators are yet to examine the black box, which would reveal detailed reports about what actually happened in the course the flight’s descent to the Mumbai Airport during its test flight. Husband of the co-pilot of the chartered plane, on 29 June, sought to know who cleared the flight despite the adverse weather conditions and if the aircraft was fit for flying. Prabhat Kathuria, the husband of late Marya Zuberi, the co-pilot who lost her life in the crash, issued a statement saying, Kathuria also questioned if the aircraft was fit to fly. Kathuria said UY Aviation, the owners of the aircraft, ""seems to have completely disregarded their responsibility to check whether such a plane should go off the ground.""  reported that the aircraft did not have a mandatory certificate of airworthiness. The crash on 28 June in Mumbai’s Ghatkopar, was the aircraft’s first test flight since the 2008,   added. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
"The Aam Aadmi Party (AAP) on Tuesday said the Rafale fighter deal will prove the ""last nail in the coffin"" of the BJP government. Alleging that Narendra Modi government agreed to pay an ""astronomical price"" for procuring the fighter jets from France, AAP MP Sanjay Singh termed the transaction as the ""deal of scams"". Under fire over the quantum of cost in procurement of jets, the BJP-led NDA government refused to disclose details of the deal citing a secrecy clause in the agreement. ""It is a well-known fact that in 2012 the then UPA government was all set to seal the deal at Rs 500 crore per jet, including technology transfer which would have ensured that the technology could be recreated in the state-run HAL,"" Singh said. However, Modi government sealed the deal to buy 36 jets at an astronomical price of Rs 59,000 crore, which values each jet at Rs 1640 crore, he claimed. ""I fail to understand the kind of technology upgradation which increased the deal valuation by over 300 percent,"" the AAP leader said. He alleged that a contract worth Rs 22,000 crore to manufacture parts of the jets has been awarded to Anil Ambani's Reliance Defence and Engineering, which he said lacked experience of even one year in the respective field. ""This all proves beyond doubt that this deal is the deal of scams and this is going to be the last nail in the coffin of the government,"" Singh said while addressing a press conference. To a query, Singh reiterated his demand for transparent investigation into the ""mysterious"" death of Justice BH Loya, who was hearing the Sohrabuddin Sheikh alleged fake encounter case, in 2014. ""If judges are not safe in the country then how can the common man be safe? It is for these reasons that four Supreme Court judges were forced to come out and say that our democracy is in danger,"" he alleged. Singh alleged that Modi government had failed on all fronts with its ""anti-aam aadmi"" policies and has only catered to select business tycoons. Another AAP leader Ashutosh Gupta, highlighted the achievements of Arvind Kejriwal government in Delhi. Responding to a query on why a television ad to be aired for the Kejriwal government's third anniversary tomorrow is stuck, Singh blamed the BJP government. ""Ever since the AAP government took reins of Delhi by crushing the BJP, the government has been hell bent against us and has ordered officers concerned not to endorse Delhi government's policies,"" he claimed. In the ad, Kejriwal talks about the AAP government's work in various sectors since it came to power in 2015, and the obstacles it has faced.",PTI
"Prime Minister Narendra Modi took to Twitter to thank the citizens of India for their ‘love and support’ on 26 May 2018, the day that marks the completion of four years of the Modi government in power. Modi “bowed” to the citizens for their “unwavering faith in the Government” and said that the support and strength of the people was the biggest motivation to the government. In another tweet with a hashtag #SaafNiyatSahiVikas, Modi highlighted the achievements of the various “Futuristic ”government policies. The BJP has announced that it will hold press conferences at all district headquarters on Saturday in the state to apprise people of the welfare schemes launched by the party. Also, several programmes are scheduled to be organised over the span of next 15 days to ensure that people to get to know about the welfare policies launched by the BJP. ""It was Congress who betrayed the trust of masses by promoting caste politics. Also, the dynasty rule flourished under Congress. People are also aware why thousands of Sikhs were massacred under Congress rule. Hence, Congressmen should learn the meaning of betrayal before using it in the protest,"" Anand Sharma said. The BJP earned laurels due to its efficient working across the world, and therefore, the Congress was jealous of its success, he added. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
